2	6316
4	10589
6	5049
8	9404
10	3664
12	6892
14	2684
16	7251
18	2334
20	4625
22	1990
24	5619
26	1589
28	3414
30	1551
32	4242
34	1470
36	2755
38	1227
40	3271
42	1071
44	2236
46	1027
48	3325
50	933
52	1739
54	817
56	2552
58	757
60	1658
62	752
64	2286
66	607
68	1412
70	602
72	1893
74	613
76	1227
78	565
80	1971
82	538
84	1077
86	498
88	1386
90	480
92	906
94	408
96	1636
98	411
100	901
102	411
104	1133
106	433
108	773
110	373
112	1264
114	303
116	694
118	319
120	1069
122	306
124	715
126	292
128	953
130	288
132	625
134	253
136	833
138	247
140	600
142	242
144	967
146	240
148	560
150	243
152	697
154	224
156	482
158	238
160	764
162	219
164	455
166	185
168	706
170	180
172	414
174	196
176	651
178	161
180	420
182	177
184	506
186	155
188	315
190	151
192	706
194	155
196	361
198	127
200	488
202	151
204	334
206	118
208	537
210	118
212	289
214	151
216	481
218	114
220	328
222	111
224	464
226	115
228	275
230	119
232	359
234	93
236	266
238	104
240	513
242	87
244	246
246	97
248	378
250	100
252	221
254	96
256	355
258	98
260	236
262	72
264	355
266	72
268	210
270	102
272	397
274	75
276	214
278	76
280	314
282	69
284	184
286	75
288	375
290	63
292	195
294	76
296	254
298	74
300	177
302	56
304	314
306	70
308	136
310	64
312	251
314	72
316	149
318	77
320	241
322	79
324	144
326	51
328	193
330	53
332	147
334	61
336	296
338	47
340	113
342	55
344	224
346	47
348	135
350	44
352	234
354	51
356	116
358	52
360	242
362	55
364	124
366	53
368	176
370	49
372	108
374	47
376	168
378	53
380	108
382	49
384	287
386	44
388	97
390	52
392	175
394	48
396	101
398	31
400	174
402	33
404	89
406	38
408	163
410	46
412	97
414	32
416	186
418	40
420	101
422	40
424	132
426	28
428	108
430	29
432	228
434	37
436	86
438	30
440	126
442	30
444	75
446	35
448	129
450	23
452	96
454	29
456	150
458	24
460	60
462	20
464	139
466	29
468	81
470	20
472	123
474	22
476	74
478	26
480	190
482	25
484	48
486	17
488	89
490	22
492	61
494	22
496	133
498	23
500	60
502	23
504	94
506	21
508	71
510	17
512	97
514	21
516	54
518	21
520	106
522	24
524	59
526	25
528	134
530	29
532	71
534	16
536	81
538	19
540	63
542	14
544	120
546	16
548	49
550	18
552	115
554	28
